run,outer_fold,actual_class,predicted_class,count
kernel_k7,6,3,3,107
kernel_k7,7,0,0,863
kernel_k7,7,0,1,36
kernel_k7,7,0,2,38
kernel_k7,7,0,3,53
kernel_k7,7,1,0,67
kernel_k7,7,1,1,134
kernel_k7,7,1,2,24
kernel_k7,7,1,3,22
kernel_k7,7,2,0,63
kernel_k7,7,2,1,15
kernel_k7,7,2,2,142
kernel_k7,7,2,3,22
kernel_k7,7,3,0,73
kernel_k7,7,3,1,39
kernel_k7,7,3,2,51
kernel_k7,7,3,3,84
kernel_k7,8,0,0,843
kernel_k7,8,0,1,49
kernel_k7,8,0,2,50
kernel_k7,8,0,3,48
kernel_k7,8,1,0,75
kernel_k7,8,1,1,133
kernel_k7,8,1,2,21
kernel_k7,8,1,3,19
kernel_k7,8,2,0,75
kernel_k7,8,2,1,15
kernel_k7,8,2,2,128
kernel_k7,8,2,3,24
kernel_k7,8,3,0,93
kernel_k7,8,3,1,29
kernel_k7,8,3,2,27
kernel_k7,8,3,3,96
kernel_k7,9,0,0,863
kernel_k7,9,0,1,29
kernel_k7,9,0,2,55
kernel_k7,9,0,3,43
kernel_k7,9,1,0,75
kernel_k7,9,1,1,131
kernel_k7,9,1,2,21
kernel_k7,9,1,3,19
kernel_k7,9,2,0,89
kernel_k7,9,2,1,25
kernel_k7,9,2,2,106
kernel_k7,9,2,3,24
kernel_k7,9,3,0,107
kernel_k7,9,3,1,28
kernel_k7,9,3,2,28
kernel_k7,9,3,3,82
kernel_k7,10,0,0,757
kernel_k7,10,0,1,48
kernel_k7,10,0,2,43
kernel_k7,10,0,3,52
kernel_k7,10,1,0,67
kernel_k7,10,1,1,110
kernel_k7,10,1,2,26
kernel_k7,10,1,3,25
kernel_k7,10,2,0,74
kernel_k7,10,2,1,25
kernel_k7,10,2,2,96
kernel_k7,10,2,3,25
kernel_k7,10,3,0,98
kernel_k7,10,3,1,19
kernel_k7,10,3,2,35
kernel_k7,10,3,3,72
kernel_k7_13,1,0,0,776
kernel_k7_13,1,0,1,23
kernel_k7_13,1,0,2,32
kernel_k7_13,1,0,3,69
kernel_k7_13,1,1,0,95
kernel_k7_13,1,1,1,86
kernel_k7_13,1,1,2,12
kernel_k7_13,1,1,3,35
kernel_k7_13,1,2,0,88
kernel_k7_13,1,2,1,15
kernel_k7_13,1,2,2,77
kernel_k7_13,1,2,3,42
kernel_k7_13,1,3,0,79
kernel_k7_13,1,3,1,13
kernel_k7_13,1,3,2,14
kernel_k7_13,1,3,3,118
kernel_k7_13,2,0,0,810
kernel_k7_13,2,0,1,28
kernel_k7_13,2,0,2,31
kernel_k7_13,2,0,3,31
kernel_k7_13,2,1,0,82
kernel_k7_13,2,1,1,94
kernel_k7_13,2,1,2,17
kernel_k7_13,2,1,3,35
kernel_k7_13,2,2,0,76
kernel_k7_13,2,2,1,11
kernel_k7_13,2,2,2,102
kernel_k7_13,2,2,3,33
kernel_k7_13,2,3,0,91
kernel_k7_13,2,3,1,22
kernel_k7_13,2,3,2,17
kernel_k7_13,2,3,3,94
kernel_k7_13,3,0,0,812
kernel_k7_13,3,0,1,29
kernel_k7_13,3,0,2,26
kernel_k7_13,3,0,3,33
kernel_k7_13,3,1,0,54
kernel_k7_13,3,1,1,125
kernel_k7_13,3,1,2,18
kernel_k7_13,3,1,3,28
kernel_k7_13,3,2,0,48
kernel_k7_13,3,2,1,18
kernel_k7_13,3,2,2,128
kernel_k7_13,3,2,3,30
kernel_k7_13,3,3,0,67
kernel_k7_13,3,3,1,12
kernel_k7_13,3,3,2,29
kernel_k7_13,3,3,3,117
kernel_k7_13,4,0,0,756
